Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2,Brand
ACURA ILX,2,4,SemiAuto-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXV02.0JA3,small car,5,24,35,28,7,No,316,ACURA
ACURA MDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXV03.5XA4,small SUV,5,18,27,21,5,No,416,ACURA
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXT03.5EV3,small SUV,5,19,27,22,5,No,399,ACURA
ACURA RLX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXV03.5XA4,midsize car,5,20,31,24,6,No,378,ACURA
ACURA TLX,2.4,4,AutoMan-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FHNXJ02.42A3,small car,5,24,35,28,7,No,316,ACURA
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFTGV01.85P0,small car,5,24,34,28,7,No,317,ALFA ROMEO
ASTON MARTIN DB9,5.9,12,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FASXV05.9VH1,small car,5,13,19,15,3,No,587,ASTON MARTIN
ASTON MARTIN Rapide S,6,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FASXV06.0VHB,small car,5,14,22,17,4,No,534,ASTON MARTIN
ASTON MARTIN V12 Vantage S,6,12,AutoMan-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FASXV06.0VHB,small car,5,12,18,14,2,No,628,ASTON MARTIN
ASTON MARTIN V8 Vantage,4.7,8,AutoMan-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FASXV04.7VH2,small car,5,14,21,16,3,No,552,ASTON MARTIN
ASTON MARTIN V8 Vantage S,4.7,8,AutoMan-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FASXV04.7VH2,small car,5,14,21,16,3,No,552,ASTON MARTIN
ASTON MARTIN Vanquish,6,12,SemiAuto-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FASXV06.0VHB,small car,5,13,21,16,3,No,557,ASTON MARTIN
ASTON MARTIN Vantage GT,4.7,8,AutoMan-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FASXV04.7VH2,small car,5,14,21,16,3,No,552,ASTON MARTIN
AUDI A3,2,4,AMS-6,4WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,FVGAV02.0APA,small car,9,24,33,27,7,Yes,323,AUDI
AUDI A3 Cabriolet,2,4,AMS-6,4WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,FVGAV02.0APA,small car,9,23,32,26,6,No,334,AUDI
AUDI A4,2,4,Man-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0AUB,small car,5,22,32,26,6,No,343,AUDI
AUDI A5,2,4,Man-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0AUB,small car,5,22,32,26,6,No,343,AUDI
AUDI A6,2,4,SCV-8,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0AUB,midsize car,5,25,33,28,7,No,320,AUDI
AUDI A7,3,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ03.0AUD,midsize car,5,18,28,21,5,No,416,AUDI
AUDI A8,3,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV03.0AUE,midsize car,5,19,29,22,5,No,397,AUDI
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV03.0AUE,large car,5,19,29,22,5,No,397,AUDI
AUDI Q3,2,4,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0AUA,small car,5,20,28,23,5,No,387,AUDI
AUDI Q5,3,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ03.0AUD,small SUV,5,18,26,21,5,No,429,AUDI
AUDI Q5 Hybrid,2,4,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAT02.0AUH,small SUV,5,24,30,26,6,No,337,AUDI
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAT03.0ALT,standard SUV,5,16,22,18,4,No,498,AUDI
AUDI R8,4.2,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV04.2NLC,small car,5,14,23,17,4,No,538,AUDI
AUDI R8 Spyder,4.2,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV04.2NLC,small car,5,14,23,17,4,No,538,AUDI
AUDI RS5,4.2,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV04.2NLB,small car,5,16,23,18,4,No,480,AUDI
AUDI RS5 Cabriolet,4.2,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV04.2NLB,small car,5,16,22,18,4,No,486,AUDI
AUDI RS7,4,8,SemiAuto-8,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV04.0NUA,midsize car,5,15,25,18,4,No,497,AUDI
AUDI S3,2,4,AMS-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV02.0AUA,small car,5,23,31,26,6,No,340,AUDI
AUDI S4,3,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ03.0AUD,small car,5,18,28,21,5,No,413,AUDI
AUDI S5,3,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ03.0AUD,small car,5,18,28,21,5,No,413,AUDI
AUDI S5 Cabriolet,3,6,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAJ03.0AUD,small car,5,18,26,21,5,No,428,AUDI
AUDI S6,4,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV04.0NUA,midsize car,5,17,27,20,5,No,441,AUDI
AUDI S7,4,8,AMS-7,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FVGAV04.0NUA,midsize car,5,17,27,20,5,No,441,AUDI
